State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
India,1651921.1118684132,93.75473089595879,497805.07632399205,88.61819392482022,2201496.1924855416,91.04320631971402,142475.82613538572,8.827226537466728,30384.892362602914,5.227291105882945,171243.61238616574,7.137233684856,93897.0,66.13589990952264,15986.991283629526,51.00171704909111,110058.0,63.73714461848782
Mizoram,2012.421882522161,99.2,4205.649677111926,96.89601647126374,31277.56012413898,97.03506018334703,5.0,7.242914787689081,0.0,32.26985468056247,2075.5140932716376,6.072846381176768,34.073894167995434,95.00526112961424,0.0,100.0,4.0,97.0
Mizoram,2583.234100554111,98.50858945390898,505.0584289410906,99.06069253315842,21.0,98.21063375256203,5.0,6.1851344381829545,0.0,29.740540647852217,5.0,6.955799520450102,4.0,96.89203998808092,227.62284879460782,100.0,4.0,96.97386689919433
Tripura,7614.293909555255,94.08488442823166,6787.560407234205,84.81062368706753,21.0,95.27635294963116,1943.467074906917,14.732782034611457,60.00764702622794,15.915127695609595,5.0,16.096595594999034,4.0,38.318435596036046,490.6544678657168,2.0856853854699917,4.0,41.08839160237682
Haryana,32043.456203270238,93.94614383312462,346.05423643980794,92.32652026780762,38123.97951310845,93.95429288322106,782.1211900910253,7.402557856559368,2141.765777436146,6.502946051285664,3055.9459267864813,6.9642679429019285,6297.511721556082,71.62882744748775,431.79901185524665,65.46205083429707,5034.999514217517,71.65199248493056
Himachal Pradesh,48829.80009198881,98.59964126739582,2.0,98.00169474451839,54193.8591162995,99.2,5.0,9.660855800353149,860.2173028463889,5.483109964997281,63.63521223885027,8.432264424224416,824.4047767855552,76.06334489116857,0.0,79.18845789720346,4.0,78.40138742820974
Chandigarh,21.0,94.70945539254804,2.0,74.30097676555431,26465.931457865503,94.850635830855,5.0,9.17165678449364,0.0,9.661018915814722,5.0,8.340654007774583,1345.6717071610344,80.59000078482107,0.0,100.0,391.3433068313858,81.14155507430439
Bihar,75127.77123724492,66.1,75741.10455036201,87.11967870996854,136293.36981254767,77.4619840409769,1986.3373117535311,6.305064597474736,3129.666481781628,5.458851536537646,7392.738483066107,5.849377497057075,1883.7311263919587,47.20009038867244,1114.6105216910094,18.450278352851658,4750.635211357521,33.5
Madhya Pradesh,90131.40016635293,88.17857443855172,45796.828172346715,95.28586200031167,112824.49128817455,90.39298253974002,8399.400081119455,4.880317329011931,3375.5525342463034,7.834402196108652,10373.60584087319,6.765485837885656,2451.857037197006,42.764184860407745,1531.103943464051,39.25975112014836,6343.726654844058,40.5722882541567
Assam,6595.916639696628,80.74782516174047,3516.806972972032,85.37849564277305,134524.56112558197,82.06788238591935,3683.17902052993,7.763591056073324,630.667107733794,9.916812266411855,1769.5135116857414,7.6012468901853625,2702.771998712965,41.23697455504358,0.0,33.31979027301659,2768.066967960126,36.16491604710778
Arunachal Pradesh,21.0,78.71378574243991,2.0,50.0,45692.10308363856,77.81525223845681,1130.7657899240983,2.7711586863557574,365.6745731776677,0.9564902957182143,5.0,2.6960850543043233,2443.1682893295356,47.18426780667595,,,4.0,47.046976475059274
Lakshadweep,29450.83050706856,95.00986201101334,,,45947.14972472222,96.67125433741657,5.0,23.66703893835631,,,5.0,24.02215619883002,4.0,75.63606896143328,,,4.0,78.76424411939237
Chhattisgarh,20107.913542887683,91.55232345392646,13713.793782339684,89.98341981996796,21.0,89.9167520106945,2169.1813143133177,9.373743091800765,1525.0811978713214,7.333361552827036,2610.4463936972606,8.403660900378979,4.0,45.499071144156915,0.0,22.499667430642248,1526.2867897426822,45.61766445402854
Kerala,47130.287963865456,93.83625426627336,10515.530286804213,89.15006375524626,19000.198393130202,92.92045618474059,7716.188937876646,32.9,787.1584362741908,30.81499791323056,12850.630082000014,32.36451962840054,3585.55609721346,62.14651647121674,824.5128541905724,57.89046806391933,4138.982353294716,67.0173172879952
Andhra Pradesh,8004.3016368524695,98.80945293895458,14448.722151972597,98.38282057160097,78395.83169134911,98.5005599780301,10708.685364136,13.94342263270001,3225.4860458442213,10.773919517881213,17581.16698596165,13.34153492543949,4076.2725890654947,70.36067133538057,1714.043875667003,55.208046258120135,7888.296059309399,68.41754776566307
Madhya Pradesh,96095.6495137824,89.08072214184708,57069.06849371333,94.06281092704957,163613.57768680234,90.18190728434224,6728.452491627339,5.458773778694045,3124.8498093335797,7.545801416801135,8298.22770205656,5.081926406404931,4746.267001437274,45.69581834039518,1265.8195116535494,39.255040023763115,4772.279616622725,40.44001067716025
Haryana,71672.22421268716,96.56663510366579,13470.721582170585,90.62178738277476,27709.656790034947,93.44198543617074,1255.6540495976178,7.575940713953083,1064.4797447735973,5.270571210823317,4908.927849754414,5.9193834154232885,387.5494710544185,74.34199016718755,178.32041859042334,62.40762372275147,2792.482575046049,74.09303095097707
Nagaland,21.0,83.47516868648724,11355.776458807431,93.39960048750477,21.0,83.52144072622976,5.0,6.083755518008879,0.0,6.0582140529959165,5.0,6.0770523858125065,4.0,49.84486070285009,584.1857966159359,14.370860325964312,4.0,48.1864759792998
Andaman & Nicobar Islands,39509.7393615361,94.34623569274295,1377.7311267032208,75.70339409856298,8166.745887807445,94.50219059694585,1598.6595109291973,18.823596487032354,0.0,32.03089509677799,5.0,19.317886981116317,4.0,72.61705577969752,213.06752135862848,95.84177596184207,4.0,72.41607914040813
India,1668083.5472788268,91.48102483684573,508900.0,90.76728031827881,2215930.0,91.97048615149652,143167.0,7.753705582229383,30564.0,5.908734310651447,173731.0,9.04825636451088,92088.05530241833,66.97234813502925,16161.0,51.722154636330686,109956.04408470084,60.554647844143005
Puducherry,30020.758629354812,98.34406929040279,2.0,99.96223612950031,357.80478558740856,99.17506130434191,1113.6164032014708,30.900023616397117,0.0,0.0,3803.262238399152,30.60444963627425,461.9831043346287,96.9,,,4.0,95.70537326338767
Andaman & Nicobar Islands,42925.66329123336,95.0460592470374,8172.306814396373,74.71504934926078,14569.205882911912,94.57850935394475,656.5258445408585,18.645703773050812,0.0,33.05097647697433,5.0,19.57922018969669,1099.6325946437007,72.72178646586073,337.1503568213649,96.93772835198612,305.1803410732027,70.4198885194024
Uttarakhand,21.0,96.53882167789634,2.0,93.33961331258426,29612.978431454358,95.71178098553767,1771.954369882303,8.552431996132078,0.0,5.078551665402253,4136.105344297917,8.409911130256605,1706.5106960147727,39.80744856672964,0.0,53.278654433090125,1476.4395342872535,37.36096749314789
Andaman & Nicobar Islands,145.85310549574422,94.13561966078389,2.0,74.57878205275752,21.0,95.37017004097363,41.65360401002337,18.586835135758818,46.98222707679323,33.046694911747274,280.4144916667915,19.143770701207615,573.0501309916494,71.36685976311935,0.0,95.2753443165234,4.0,74.53145043688974
Tamil Nadu,105308.2653388935,98.04720558709492,27911.313700128878,89.59204621351648,35587.02233214603,95.80714253238524,17079.06733814313,27.173532171653353,4553.616867401932,21.594109678056103,26087.417962483592,26.02303529582663,17737.262546943777,93.61823979045022,3221.176396138848,86.5286188088043,23037.092862893485,92.57317194076724
Lakshadweep,28869.485812627234,94.63019574111776,,,21.0,95.97483405486432,5.0,22.98606535885847,,,5.0,24.544155335960827,383.9435618142693,83.88501157820598,,,4.0,79.94436715650339
Tripura,21.0,93.61580365603002,2152.9228096112042,85.60784116632398,29552.659274477737,94.33367919769107,1962.3882648015237,15.208108622278635,0.0,17.702935075425586,5.0,15.33128869036006,4.0,38.0,24.79786251086617,0.0,1019.7751917636348,36.95839487263505
Jharkhand,28051.905886568806,90.48167303424482,34526.94161329384,86.17218482084131,43110.58229648745,87.94697654935734,5106.153582819611,5.157325341608953,784.5395952386365,7.481686568222474,10970.468786046364,4.700112664576563,1747.0391091398137,54.108676597124806,106.08758077706085,38.92329245255699,446.7472423830279,49.588164207199625
Jammu & Kashmir,21.0,95.1339214321373,2.0,93.08797517997874,21.0,96.42919430488348,5.0,6.816501149843551,0.0,5.93474867324058,5.0,7.149412000822009,1743.4559145202468,52.314953848228186,81.12040229893938,82.1575296163203,2181.7119454225367,54.9627659465108
Delhi,72613.2684576575,83.60477841941749,12276.012234606853,55.78702121187308,33734.32711507257,80.96235364128314,6684.973817114793,9.039888875710554,311.85709455093644,10.805920533129493,6553.908230069807,7.870905814395375,3628.7446292032673,47.97536192400048,722.1554388918496,26.26371155534047,3047.9881705265443,45.81889529663066
Andhra Pradesh,71350.67786637158,98.21761988380831,24073.823340365823,98.259934898041,105567.97053861708,99.2,11192.341424458402,13.297020221804564,3286.788685866105,10.484191988582579,11167.66326059525,12.743858525728,3868.992765731703,69.5229049963343,1577.6128645487902,54.98412300698058,10415.42042077689,68.62816771800178
Himachal Pradesh,13358.536916835072,98.32613811129464,2.0,97.26708873834112,39421.47096829221,98.8234130756279,2546.045914879899,9.861696439488892,0.0,6.713544593415018,1518.6807853409168,9.977457679004122,129.80242616319867,76.09481803088558,0.0,76.35193915289746,708.6640780515304,74.05403807419016
Delhi,54242.83320959697,84.60729902589935,3307.479178034805,55.48271852317717,112029.45770799599,80.43880487931511,4649.326306833074,7.983473783163137,721.4832668421479,11.358798660915332,6790.204045834549,7.27355350885767,1909.8179716706768,48.437043109961124,0.0,26.11891247760751,1359.5369961730976,43.77181823773836
Uttarakhand,44688.654684017325,96.64305896716381,15260.116734470059,95.29703916752776,48037.06835936461,96.05396319997567,4235.343082872667,7.946188677198938,850.1697483678065,5.424394533926932,4646.533015733274,9.35455605496667,75.59307233309733,39.16586197441195,0.0,51.51388207724904,4.0,38.87990117390438
Madhya Pradesh,123449.7868748348,89.670146573955,57263.14577108658,94.54224234883468,172886.05516907302,90.0433645489971,4303.164537935154,5.274734712670948,2794.1133440250505,6.343716300298933,7119.034990094575,6.669254676696697,5503.522118905026,44.50090425432197,1284.463155301685,36.815006415861404,6304.779232153309,38.50579272832413
Uttar Pradesh,357117.2118325976,93.13471365380235,89089.69431069796,85.74051586518908,578658.5694724416,91.24302090710931,21100.994504873925,5.198880516017439,1722.4183583254708,2.5208580370914255,26207.11853301832,5.194610855265165,6451.978949031221,38.66383302209029,1092.0525188772622,28.939029100282188,10660.22204955571,39.9471988278836
Chhattisgarh,15236.105470143973,91.77522161161701,14361.153088740055,90.13642852762848,33863.77370489689,90.8401315559477,2216.0322294592575,10.05363688704116,694.1041310668637,6.868889675236724,5636.053170949359,9.729116591039322,1559.5096880953479,48.762570637343856,550.681434634599,24.913361991904324,1475.5251819435302,44.16303730691124
Haryana,82051.86583899592,95.4195635513613,28768.719025066184,91.14207452996109,54945.03523684569,94.09786576687368,2012.4414380546236,7.637168251436393,896.3397700442681,4.832512934505211,3635.515498079768,6.2733615506071185,2257.7756434332687,76.09035130061054,961.9842555333837,65.61645358843884,4001.204764557992,76.59907475403134
Puducherry,21.0,99.2,19013.234838556662,100.0,5100.6062308776745,98.38253352486275,2978.282349594439,31.348310810659786,0.0,0.0,114.08214616093943,30.59148917056854,4.0,94.0961056494745,,,650.9727797713279,94.13333393876805
Kerala,17244.887614908737,93.31079859638753,4102.329164558154,85.57750331391027,1290.4183406382544,92.51520212652768,7111.956833590033,32.9,441.66587402478444,30.877675842260963,6526.979715833486,31.32619452707869,72.41079841005012,62.66130004908909,240.73824573603642,58.94970014859061,3977.3667349650996,63.041408748899826
Uttar Pradesh,380156.5143525213,92.2644236434927,97507.65730698718,86.15330710175508,493012.9253894022,91.01136193742946,18947.367119552484,5.951555223348058,1620.781495989227,1.4434767377946234,28234.48747306162,5.233482432872664,9900.74591818274,38.455747045299795,481.61750584597854,31.620501950937857,9516.09063777606,35.7426876395385
Tamil Nadu,52192.116418125486,97.05658996170548,20082.303433996247,90.80934103340488,124912.36267862115,97.13798119385073,20231.592011192195,26.314656563995992,3463.4197430199024,24.13005114609073,28638.600122153228,25.431034191924404,16664.368345151983,95.11635264596552,3287.175660949716,85.56986441149164,20857.47050478148,94.92808739351811
Karnataka,80355.1751254343,94.90534707845332,3205.5716533412924,89.05251414209032,97971.43047923254,94.17470795593226,10679.451108827554,13.563821662759675,627.5449329806911,7.617345335330059,11903.995412335888,14.576399726592848,6899.6161666889575,78.97004105443534,638.6007936484,78.14530691670603,6253.3444160375275,76.81744014722425
Goa,41282.022429866454,97.38105456129799,2.0,73.02489757819922,45902.57389031266,92.84359218640772,5.0,20.22182010016055,612.8473351067972,15.606588469411587,5.0,20.320295036900326,1862.3764347595538,87.99255773875804,123.55950259915521,53.077144921059265,4.0,85.70529715166275
Andaman & Nicobar Islands,12786.827844841888,94.46595181548656,2.0,74.16676838196436,21.0,95.0758688118378,5.0,17.615420683696627,0.0,32.42739624729069,5.0,18.614703988042987,147.43350108172098,70.85729664701623,161.64273636466976,94.87754991618755,4.0,70.64054837824837
Uttarakhand,21922.230347820452,96.18236553421865,8420.122483034027,90.76649878510048,21415.85387642596,97.26057773239043,1236.8234889998723,7.1917385643788885,502.531969210483,4.835699615186282,5.0,8.357151327397064,1653.4387575968817,38.0,102.73491933020728,55.5884822331611,4.0,37.83148088856698
Assam,52907.78671284024,80.59103595064235,2.0,79.30796676335189,52554.08714304814,80.12326509768589,5713.725104303958,7.630545463158824,677.6387345590017,10.662992453541014,7718.879312267962,8.279744971290931,2478.7610304436084,40.95261588870271,41.471005151430404,35.21100500738382,1379.120023279297,34.840618466841676
India,1707030.0,91.72933505079303,508900.0,89.25622276266614,2215930.0,91.18001846639628,143167.0,7.175436892090224,30425.004272718696,6.72083713376624,173731.0,5.964701166260242,93897.0,64.73200377621848,16161.0,48.904010712242574,110058.0,62.49834198672999
Meghalaya,41360.207391641205,78.34468623500594,2.0,51.243236122063664,5539.312943163208,75.55301636550149,5.0,5.331926560664856,0.0,2.112239767705466,5.0,6.705217198197366,957.5718558739712,63.89058952042984,0.0,74.76199306196023,4.0,64.37963914878073
Himachal Pradesh,65634.9202108036,99.2,2.0,97.78662548915696,3319.5626101536454,99.2,1504.8109430651443,9.493367169287072,429.7546862971814,4.577807248757317,1493.6489710907897,8.434591181497172,4.0,77.02865525842361,0.0,78.3074108472532,585.1127783031825,74.68120651052291
Chandigarh,9155.526356149148,94.55034197788727,2.0,74.43345371269213,44351.52411477248,94.99233887519401,1746.389657678724,9.030271455553942,1294.6005900610094,10.581992440498038,7578.268886131414,7.827854266843159,4.0,76.9973576180317,167.14046720863814,99.13257402976642,4.0,80.2347414102826
Chandigarh,31816.053104546478,94.8112810235897,2.0,73.09674543785961,62011.61129579282,95.23161013964852,440.7304971408091,8.52854058952461,454.33127928144046,10.2643129483085,2789.941815765748,9.142702933525696,4.0,77.4269676277116,0.0,99.43282620098421,4694.054278544674,77.79488227638598
Manipur,2995.616983758019,76.43009633759937,2.0,54.201813447927094,15756.564311314445,74.56037900093112,5.0,16.434938960035133,373.7683354785182,8.294880728625223,2946.135502933443,13.394715739868204,4.0,47.60516558091426,0.0,22.33863933227571,4.0,45.525014218006746
Andaman & Nicobar Islands,21.0,96.585800247626,2.0,75.63131477946958,27377.83192379345,95.3458127864811,3373.4172909827257,19.32579494196465,0.0,33.3,686.8573431146401,19.50440865194836,1089.9224173767993,71.59953960628677,28.21149397800593,98.49195484686662,4.0,74.86116615882636
Jharkhand,44782.26351428387,89.55492487119696,28576.32914848006,83.91131224303746,85677.84099732374,89.7415659830316,3338.6111156876605,5.594034937821571,512.78956199587,5.8874541272046494,3701.4934879296097,6.41269607405189,4.0,51.393850739112864,116.38640657632718,41.07291990945122,4.0,53.13307250326085
Mizoram,2141.4909771349203,97.50007494621323,17742.199582936308,100.0,21.0,99.2,3213.828036808209,5.5339370573535405,626.098688483601,29.849376338737873,1212.647341384691,6.263901449742706,620.2971231691861,96.9,0.0,100.0,2021.349348296903,96.49382750968232
Sikkim,21.0,98.18070561959858,2.0,95.67498465040991,21.0,96.97564721558132,2922.138399096744,9.169594929854311,0.0,6.225986773520607,4695.744656450383,8.240978912430325,1498.5283541677993,88.73116357680895,0.0,81.03269238042361,4.0,88.15566791549446
India,1707030.0,92.0519220882336,505438.57924619655,90.7802867845994,2159647.700638389,91.71495145358982,143167.0,8.588422392974424,30564.0,6.590998059387933,169695.14305135587,6.8548859509729585,93897.0,64.41517253581793,16161.0,48.73948472436754,108280.95972708194,63.56982815986581
Jammu & Kashmir,35601.496178879155,94.99233620233056,2.0,94.5824159151071,21.0,95.37880664116555,2088.5901811355707,6.475440248499383,0.0,9.29564809124689,5.0,6.618838410965897,1061.8908633451551,50.80586049008509,0.0,74.75239640635954,4.0,52.26143650247641
Nagaland,21.0,83.43953654474508,2.0,95.13073704022096,38700.157881803476,83.74394153992675,40.714854500473905,4.927643774463328,0.0,6.1013409750396255,5.0,5.901086470288346,4.0,50.198012390494625,0.0,8.205805315976995,4.0,45.28464384161856
Lakshadweep,16962.390827723015,94.22869242854973,,,21.0,94.62159719251318,5.0,24.56062940847624,,,5.0,24.002217188215855,237.0504380621518,80.37006061954973,,,2323.851916007678,83.60827361182639
Kerala,38452.35333288015,94.35287844943248,2.0,88.39366395432648,32681.03056323809,92.53349467962396,6299.454395886115,32.800473900709676,401.61979009485594,30.11221509512371,9380.060994766007,32.23887497030058,2083.4880070500312,63.17828804570473,0.0,64.66076411316548,6234.957287949521,65.29774943547062
Telangana,50142.015199999536,94.03571195773628,34043.109056734254,92.76102858712112,54186.4120293108,93.59398653896561,2114.492571809716,7.159945016267546,1482.8642914508837,4.0953701767505235,2792.241609034917,6.271572165196418,1663.8896137900274,85.82945254076361,539.5626659841002,82.96126403494884,4.0,86.55268580098516
Lakshadweep,21.0,94.69642373432208,,,21.0,96.1942627527443,442.5125337766582,23.00348446527095,,,783.7381979061199,22.78277514259478,4245.8377694220935,77.71580555773211,,,4.0,77.45582568014373
Andaman & Nicobar Islands,39479.64347919243,94.95389570293929,15918.411828879083,75.68991395634035,15319.800035795188,95.17982089631407,1293.9709564784155,19.828644211590813,0.0,32.023056309950455,1537.3437273299448,19.70922254205453,4.0,72.94804118738024,0.0,100.0,4.0,72.14238853211283
Dadra and Nagar Haveli and Daman and Diu,25969.924478290024,99.03948227638257,2.0,100.0,21.0,99.2,5.0,4.866152544969286,0.0,2.6693939586139477,5.0,6.470523111369524,3408.8726170352425,83.54879884292404,0.0,68.11607258762447,4.0,83.22205923531813
Assam,60034.23433107002,80.25160085320144,2.0,83.31219218507509,37205.730085305295,82.42265966990806,1368.1484749048595,7.535216347465352,218.22219456974193,8.532504375833032,6341.110560404489,5.8094333979259245,624.2955027853889,39.36903972423319,288.1644727421692,34.83901267600531,447.63256439302086,40.16805753145689
Kerala,69741.58451756596,93.28025767905228,4220.324064023201,87.54595822095114,4148.004722230329,92.8946302751977,4662.751251735873,32.9,229.65585850395678,29.01704527332638,9721.838668088174,32.6,4985.878246102873,66.48231041140556,314.46768152745256,53.79308088525961,4768.2266082624,61.86762665142696
Karnataka,80742.11126286504,96.41337957282778,20153.42777822394,88.84879451157695,3574.4224581390445,94.67416189976629,6372.224477547593,15.053442466140165,512.5655913081378,8.685211027631158,13974.136321785787,12.846040473640313,5638.269014604075,74.55519117036775,719.2960568982694,73.24622061846907,8438.313885516329,74.22592102298763
Bihar,77832.97672698282,67.18593918112549,80825.29809164026,85.68345840890288,74577.19499122,78.91757250260217,1395.2121208218723,5.451130776166553,3795.267097947013,5.1471274785590095,13251.314095244335,5.5758831726075275,2677.3921913939657,47.00782519170405,893.5207192461019,23.35663102759903,2264.5379801052536,33.5
Telangana,57052.279374484875,95.2168142304,17216.469973614712,91.96574562752592,49303.3553770244,92.60744414779566,5416.91407803256,4.823570690501791,50.71121493921055,3.829519863271961,7891.196649912979,6.216947947039523,2350.8839402517847,83.36765770342375,782.7166122851053,83.66133530965246,4273.120455109184,83.43877665553819
Himachal Pradesh,63118.899130555255,97.01923028345603,2.0,96.8114797574851,21.0,98.56777984528577,1182.8545746421496,9.295072653144182,0.0,4.5065392718795945,709.2668725872828,9.894201146454021,1207.169275117432,73.8326907604674,359.9894403694631,82.64548637807694,2941.8646910072875,75.24837188026993
Dadra and Nagar Haveli and Daman and Diu,21.0,98.53303046204174,5118.853257300654,98.53605810062221,38465.45057235789,98.14467056159589,5.0,8.706004861950532,947.5053872589865,4.953880052579962,5.0,7.221547782700679,1765.2258230744399,84.45678957220404,0.0,63.55203535730479,4.0,83.03096849147525
Jharkhand,20011.590841817848,90.10760625235442,22506.110987963868,84.05901002236786,54983.56579089847,88.11679558068975,2440.5571249511386,5.179718247016939,954.5983029462163,5.676679509422278,6420.5238223211145,5.55989253823501,1859.9109434828442,59.560678767875494,249.80022024332797,43.77472982427435,4262.341901442482,55.014905658536186
Karnataka,42122.54135363798,95.22149512035851,11679.287329742423,93.3803600349571,175629.9677173454,95.28236045342923,9195.34468630998,15.887546700007004,989.9715595445589,9.454343287108518,10031.155238534595,12.728657584818151,6931.197697137073,72.54920534027313,789.8709925416996,69.345283407504,9097.356307754213,76.04337585842589
Uttarakhand,41521.39321122525,96.15442324730878,1872.6903431966134,93.9060941908681,18747.147843124385,94.31909236188612,2138.0096947968077,8.026586980806467,0.0,5.444189762572967,5.0,7.572270364787701,2481.1411282329877,39.1039484115507,487.2807346106784,51.4409245144812,1718.8188392179416,40.49200008347564
Tamil Nadu,54719.11913139959,98.59544801045637,16571.957171883176,88.59951959327579,102683.5042013086,97.02959401076771,18227.06342930679,25.93774733232299,3960.440418465565,22.062659176318373,26227.61519275966,25.196092436730545,17401.79886818808,95.30052885232502,3748.994394566721,87.64708379263251,24235.79131044628,90.93236354171061
Assam,21.0,81.46239724319946,1129.9103057522925,84.72668360208661,62547.663097047465,81.58586053839154,3486.072015278451,7.309056720238567,0.0,9.444326836734287,939.1686824436656,7.198644672691997,1895.9387194126873,39.37484429377687,0.0,33.63580427734876,1663.3170266754648,40.06032743264597
Karnataka,87406.68394578283,96.12085619204917,14235.23746619676,90.84952227939391,56405.9805859746,95.88554485162759,9892.489323061538,13.657151496293968,1280.2934518022237,9.943332879550713,12687.15615601455,15.037935539806252,10314.882957650985,77.61566153138925,802.761119174442,79.79386998038635,6789.675254179727,77.12526105567866
Goa,62844.90194552552,98.13938102126937,6780.763345620861,71.02647436153072,13057.298783739148,93.29260662461121,5.0,20.409713196328777,215.86501153962547,15.081822902861326,3674.1534023689806,20.458535225866072,430.4252833730741,89.73014864491044,0.0,58.51450189970118,4.0,87.91407638568838
Telangana,32511.132598971,93.75825661043518,19614.705847266338,89.8658164995044,113216.65196336566,93.6940787891212,6771.904365297179,5.188830735763637,1192.5788666362173,5.42760090286011,1192.139120429798,6.572498539290331,3354.880199740457,83.62473861782007,954.6798959935584,87.93808420951808,5189.604590042792,82.09831012459068
Madhya Pradesh,89579.78907543377,89.15014082756812,56417.01150388958,94.48636072197631,165703.66338754527,90.15256520415122,5714.37112210749,6.5686853205826266,2851.0680638747635,5.181109699175151,10324.818890952462,4.762369983428333,4.0,40.2265651441024,832.6033412443184,37.65409190511103,7282.2877506369205,40.374241181960784
Chhattisgarh,21.0,91.85497015339446,14905.806035265106,89.90219124803413,1718.047393682813,89.76654274506897,612.6459384122816,8.605038676640131,568.5489913849884,7.701656172940343,5499.462358642808,8.560454592536328,1056.9282541531227,45.363453177834124,451.51495694309784,24.809331905975153,785.399483580237,41.81886925554172
Chhattisgarh,15398.855874069772,91.01492294948488,11206.138490328916,90.20323192450395,38416.61091608663,90.54024772320145,884.1463025206015,10.108427965885612,1215.4926588458384,8.212151890262291,275.6680180772296,8.903145541303795,2782.834274668666,47.24238924597424,369.4841642724715,26.580567776876187,4.0,42.07289464469314
Dadra and Nagar Haveli and Daman and Diu,21.0,99.2,2.0,100.0,81126.72750875322,98.82370507621808,728.2502010984069,5.204001538064268,53.95506178337058,3.262856680950676,5.0,6.522217013585373,4.0,82.39105522850967,0.0,61.64029177165503,4.0,81.70453700901085
West Bengal,71994.68048565162,93.50346982665411,6317.304909540225,79.37227291050469,90053.72710883853,92.50196742550186,10401.839433539397,15.97662435527231,226.099345074525,13.40205195144536,14903.420958386938,14.133632754573034,10014.487441172329,72.25406961115324,859.2578758734345,76.36947707372637,12773.054254028715,75.78406647182474
Andaman & Nicobar Islands,21.0,94.8820415505192,2.0,74.51175346801185,5516.245009536135,95.69687711772377,5.0,18.55964584378106,299.6376547201689,32.70527472035148,1050.738902900451,18.10053289867785,4.0,71.33480534254352,83.2153068129339,94.70641864208022,4.0,73.86890680732887
Assam,34439.49634072645,80.85820426979254,3535.3542635824615,83.48243163485326,47702.36605612094,80.74535588298606,3958.9944884395327,6.206714783329973,664.4564972319074,9.473472794969869,5698.349400679877,7.2474695045477375,4.0,38.0,267.6821189077806,29.928924717737264,4.0,38.49156975004791
Lakshadweep,30710.314623505088,95.46639968380386,,,21.0,95.82016440280282,1397.6285982580098,23.269524094247732,,,1395.0907833191307,23.841970178369888,4.0,80.00942081936967,,,260.17245620787594,77.23605666521061
Rajasthan,120988.756063573,90.38275623290932,15347.101525260932,89.34920913356005,141199.7358399229,89.82984308858231,2802.405904897979,2.3,1227.8910990144852,3.6493267403831218,4330.7486007482385,3.934599450514636,226.8478187778892,66.30981713585717,73.50674415895577,40.23323460681716,401.488500271244,63.81070762431772
Chhattisgarh,40478.10759522892,90.95217877156716,7.72317331560771,85.62657007172726,79938.08588143093,91.61194316935432,1278.256803766589,9.119005187793762,411.4638001235604,6.812724042355626,5.0,8.27379297457091,1621.5708661821764,46.29779249012445,145.43740425611853,22.485624348192168,204.0031386999783,42.999672894392596
Haryana,108205.525856416,93.99311557018589,14274.541233991024,91.04532165032003,52474.92175519979,94.16350447061379,5681.401747180153,6.638522300732867,546.9418143695299,4.614956799663507,4906.0795345453635,7.065189758429446,2979.2645611822527,76.66058299751136,722.6333025110474,63.32708529635804,2534.7219719522027,73.04286998515182
Maharashtra,128236.03825589339,97.70095664591975,74863.6687483883,96.22331204194167,283038.11938653263,95.32447836796565,8899.670311022215,6.7313506719581016,3792.789012858251,5.834924580125772,15496.814915190185,6.396499163127667,6297.16394391209,70.57650288575259,2802.375198095819,53.38200384503085,11977.617339379622,63.852652032305
India,1688781.3920620312,91.59742433980261,508900.0,90.46370514711955,2164809.514657906,92.42339648867078,143167.0,7.279513429392224,29386.805046949405,6.000397657101685,173731.0,7.3053540839567415,93253.45526453323,67.78080310889652,16161.0,50.499060578830665,106682.66357446133,60.07937051651931
Telangana,66306.61843501069,94.36535796446171,12384.079322228152,90.77348827146575,110379.11050573627,94.1354551762774,1799.1723859314434,5.806882773024961,497.8250158253575,5.29012642118355,7129.041865943842,7.49771234171598,1138.5663106229879,82.61259580454467,858.2252082587294,84.46212964538611,3846.84044336477,82.86660207682493
