State/Uts,"No of TB - Diabetes-TB patients with known DM status, of notified)-Public","Percentage  of TB - Diabetes-TB patients with known DM status,of notified)-Public","No of TB - Diabetes-TB patients with known DM status, of notified)-Private","Percentage  of TB - Diabetes-TB patients with known DM status, of notified)-Private","No of TB - Diabetes-TB patients with known DM status,of notified)-Total","Percentage of TB - Diabetes-TB patients with known DM status,  of notified)-Total","No of TB - Diabetes-Patients diagnosed among tested,of those with known DM status)-Public","Percentage of TB - Diabetes- Patients diagnosed among tested,of those with known DM status)-Public","No of TB - Diabetes- Patients diagnosed among tested, of those with known DM status)-Private","Percentage  of TB - Diabetes-Patients diagnosed among tested,  of those with known DM status)-Private","No of TB - Diabetes-Patients diagnosed among tested, of those with known DM status)-Total","Percentage  of TB - Diabetes-  Patients diagnosed among tested, of those with known DM status)-Total","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Public","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)-Private","No of TB - Diabetes- patients initiated on Anti-diabetic treatment, of TB-DM)0Total","Percentage of TB - Diabetes- patients initiated on Anti-diabetic treatment,of TB-DM)0Total"
Rajasthan,104959.20493579021,91.57244386388783,45283.1656781709,87.36397873297076,158500.75839721705,90.51873251482981,4030.177390174418,3.5747755366516083,636.70978710119,3.460723405673435,970.8608841158739,3.6757075968901205,2322.8790804495475,62.60797185202463,1074.3187966081132,43.21906543871638,1025.855403635644,59.65886074869941
Puducherry,45711.27207970043,99.2,2.0,98.73828526443529,29106.544675707057,98.02136448725118,1808.944086991709,29.404081678999656,0.0,0.0,5.0,30.678303404199728,4.0,92.17776132095332,,,405.7477117138262,92.74014341551351
Rajasthan,102696.29554911665,90.6665743542004,42500.468683480925,87.650056481121,138125.74215108072,91.01742272441768,1066.8852145105539,2.7493074649080826,764.9268401286049,3.07928291058618,3982.3622520207136,3.5088982204365613,4157.864358526614,66.90615615083341,401.02088916690093,47.788106823502346,3624.9137647184507,60.31944289822579
Jammu & Kashmir,21.0,95.77208185721088,2956.3921090287017,94.56270036770651,75524.34886847975,95.86436992376333,5.0,7.8211121657453075,293.3281172040288,6.922503432105995,3693.890647122064,6.636119716729281,4.0,51.53644694340129,293.80887237129804,77.47235530163417,4.0,52.705433210994144
Himachal Pradesh,3081.8001284843886,99.2,2.0,97.32195264746004,21.0,99.01760290174154,416.65507103472055,8.986678036564655,13.688338839016506,4.218896026834473,5734.497643953042,10.041718867648692,1132.5198827030497,73.55065535134668,0.0,75.4422779847902,4.0,76.95606476348385
Karnataka,73053.7147738642,96.91144034337381,11767.909949771252,91.06271532319327,56224.67244476979,94.58392132304809,10417.005918588076,15.520149056302428,1915.480633252714,8.547854532912726,7712.157364428978,15.47955816411493,5200.913577303509,76.00014656973941,631.8916951165905,75.85748264505736,6398.128939022767,79.81425801963863
Delhi,71418.00869487356,83.57190919223274,18994.63910186109,53.27554348037738,87927.10367333044,80.75074453382456,3999.4884789523257,7.891157939082121,0.0,12.476510814207238,3265.4427242994293,8.788027417824205,1648.583863583044,46.89779479583685,0.0,29.02170149036886,4746.026025056935,47.12103268422791
Odisha,63358.230591332016,96.35264239674075,6918.672708621716,94.04619823279624,58853.71727243939,96.14851043893019,5849.23441397284,7.76590783984282,373.103402249428,5.874506570211521,3627.7635347907967,8.032625869248436,3441.329799101851,79.51541756487107,110.55158260026747,77.76830698667705,4018.279944337378,76.00156787965753
Goa,8009.7306815103675,99.2,2.0,72.93563531978225,21.0,93.7871564696618,2127.5174838445964,19.357402252289194,0.0,14.940877132993446,140.44836702811065,19.593503497066852,1266.309790516776,87.30352801636545,0.0,56.91502182944222,2595.483978497933,84.1514240170399
Odisha,95139.87736676476,96.62271075948794,2.0,93.9984596402224,109880.96372571138,96.94842448773137,6118.516397083874,6.720571214983806,468.58471596296636,5.664964515692975,5.0,6.679743048006081,3427.367176130687,73.08458497433715,172.18362373784134,78.40063297773374,4746.320266099328,77.91474904086945
Meghalaya,16754.714348184534,78.04038045341,2920.964497963308,50.70565065152429,21.0,77.16711663529968,924.2422239447097,6.235379573204129,0.0,2.846938238870576,33.97436947853518,5.429250154805451,4.0,66.81970941025756,0.0,73.7173420386636,128.27436624289837,62.543534318456295
Mizoram,5410.076042727698,98.25667779903104,4154.945759354948,100.0,21.0,98.7979185405601,5.0,6.083208507892638,417.91503138704445,30.788462092828457,5.0,6.062927134829486,4.0,96.9,122.85528912564263,100.0,234.4840163431266,97.0
Jharkhand,16943.831088935287,91.0115939581878,4921.724588192637,81.79195557877904,61825.42194622159,89.26263831943284,5.0,5.623729281783391,961.9346590213402,7.0002144057268545,2365.598019795558,5.923635895903564,1153.6062463701978,57.41035733547211,565.7831983592097,42.28165552214159,103.56668848864592,49.80952199618162
Telangana,126051.447726176,92.30761140827187,25408.7588341356,93.94738230363163,77347.6947943669,92.7340688978729,5153.359328008491,7.064672750010232,721.0663845578317,5.906496405394423,7383.306938647654,6.1279330703679795,2487.6227185732423,85.68401562809098,1077.8219151664157,82.17303259776057,6639.243582765855,84.19579627767334
Uttar Pradesh,389057.48853868165,93.49682746596032,94186.39517938576,86.90770863756583,480075.9729979257,90.15700832784351,22540.130259443078,5.829742961029197,1628.2222178227405,2.522044757893041,23099.9996717154,4.704152536475911,10903.481583182349,38.0,829.9666268931755,39.793876460265714,10236.590277133211,33.5
Madhya Pradesh,139772.30758362167,89.14719382847258,38042.358524044146,93.92140643008962,187710.9269809845,90.95457071492817,4739.499792497783,3.6366044773580093,3634.365782956309,6.365434881639961,4957.208342515766,6.67199329026162,4880.735247999992,44.722411186799356,854.4147476704284,35.69915242641768,8414.68050784972,41.45813723708167
